"Source";"Target";"Weight"
"Dlgap1";"Dner";"0.576"
"Dner";"Malat1";"0.505"
"Dner";"Ablim1";"0.502"
"Mgat5";"Agap1";"0.522"
"Frmd5";"Agap1";"0.552"
"Ank2";"Agap1";"0.56"
"Lingo2";"Agap1";"0.503"
"Agap1";"Camta1";"0.568"
"Magi2";"Agap1";"0.519"
"Dync1i1";"Agap1";"0.507"
"Ctnna2";"Agap1";"0.501"
"Agap1";"Atp2b2";"0.528"
"Dlg2";"Agap1";"0.503"
"Fam155a";"Agap1";"0.527"
"Cadps";"Agap1";"0.57"
"Kcnma1";"Agap1";"0.502"
"Grid1";"Agap1";"0.512"
"Nrg3";"Agap1";"0.555"
"Pcdh9";"Agap1";"0.511"
"Pde4d";"Agap1";"0.547"
"Rbfox1";"Agap1";"0.631"
"Dscam";"Agap1";"0.556"
"Snhg11";"Kif1a";"0.504"
"Mapt";"Kif1a";"0.503"
"Meg3";"Kif1a";"0.527"
"Malat1";"Kif1a";"0.502"
"Clasp1";"Nfasc";"0.516"
"Clasp1";"Mdm4";"0.539"
"Syt2";"Clasp1";"0.561"
"Sptan1";"Clasp1";"0.588"
"Clasp1";"Mbd5";"0.583"
"Clasp1";"Galnt13";"0.509"
"Upp2";"Clasp1";"0.644"
"Clasp1";"Ryr3";"0.666"
"Clasp1";"Eif2ak4";"0.526"
"Clasp1";"Frmd5";"0.59"
"Clasp1";"Trpm7";"0.523"
"Ndrg3";"Clasp1";"0.604"
"Clasp1";"Chd6";"0.588"
"Clasp1";"Tenm1";"0.508"
"Clasp1";"Nmd3";"0.503"
"Clasp1";"Gria2";"0.553"
"Clasp1";"Gatad2b";"0.584"
"Ank2";"Clasp1";"0.612"
"Agbl4";"Clasp1";"0.516"
"Rsrp1";"Clasp1";"0.567"
"Clasp1";"Camta1";"0.58"
"Clasp1";"Kmt2c";"0.55"
"Clasp1";"Rufy3";"0.57"
"Clasp1";"Atxn2";"0.583"
"Clasp1";"Galnt17";"0.551"
"Dync1i1";"Clasp1";"0.505"
"Kcnd2";"Clasp1";"0.517"
"Clasp1";"Rbm28";"0.564"
"Clasp1";"Erc1";"0.58"
"Clasp1";"Fam168a";"0.549"
"Clasp1";"Smg1";"0.534"
"Syne1";"Clasp1";"0.509"
"Clasp1";"Slc35f1";"0.503"
"Clasp1";"Usp15";"0.572"
"Clasp1";"Sorbs2";"0.501"
"Clasp1";"Glg1";"0.549"
"Clasp1";"Fam208a";"0.562"
"Grid1";"Clasp1";"0.568"
"Nrg3";"Clasp1";"0.573"
"Pcdh9";"Clasp1";"0.514"
"Clasp1";"Dach1";"0.601"
"Mycbp2";"Clasp1";"0.567"
"Clasp1";"Opcml";"0.549"
"Clasp1";"Grik4";"0.525"
"Clasp1";"Csnk1g1";"0.583"
