"Source";"Target";"Weight"
"Gls";"Sclt1";"0.519"
"Ank2";"Gls";"0.572"
"Gls";"Pnisr";"0.562"
"Lingo2";"Gls";"0.506"
"Gls";"AI314180";"0.512"
"Gls";"Elavl4";"0.563"
"Agbl4";"Gls";"0.531"
"Magi2";"Gls";"0.6"
"Gls";"Lhfpl3";"0.516"
"Gls";"Pcdh7";"0.501"
"Gls";"Slc25a13";"0.555"
"Ccser1";"Gls";"0.508"
"Grid2";"Gls";"0.582"
"Gls";"Exoc6b";"0.502"
"Gls";"Magi1";"0.503"
"Gls";"Bicd1";"0.562"
"Gls";"Gabrb3";"0.516"
"Ube3a";"Gls";"0.59"
"Gls";"Grm5";"0.504"
"Gls";"Me3";"0.54"
"Gls";"Aig1";"0.517"
"Fam155a";"Gls";"0.556"
"Gls";"Zmat4";"0.603"
"Gls";"Eps15l1";"0.547"
"Cadps";"Gls";"0.577"
"Ube2e2";"Gls";"0.51"
"Gls";"Kcnma1";"0.532"
"Nrg3";"Gls";"0.57"
"Pcdh9";"Gls";"0.512"
"Mycbp2";"Gls";"0.577"
"Fgf14";"Gls";"0.607"
"Gria4";"Gls";"0.543"
"Ntm";"Gls";"0.624"
"Gls";"Snap91";"0.534"
"Gls";"Ehbp1";"0.552"
"Gls";"Ccdc88a";"0.547"
"Gls";"Msi2";"0.535"
"Gls";"Dip2c";"0.507"
"Gls";"Ryr2";"0.536"
"Pde4d";"Gls";"0.56"
"Mdga2";"Gls";"0.581"
"Meg3";"Gls";"0.534"
"Ctnnd2";"Gls";"0.511"
"Gls";"Oxr1";"0.567"
"Rbfox1";"Gls";"0.585"
"Dscam";"Gls";"0.619"
"Gls";"Park2";"0.502"
"Nrxn1";"Gls";"0.513"
"Gls";"Arhgap26";"0.535"
"ENSMUSG00000041670";"Gls";"0.548"
"Gls";"ENSMUSG00000102657";"0.6"
"Gls";"ENSMUSG00000039652";"0.524"
"Hecw2";"Agap1";"0.505"
"Clasp1";"Hecw2";"0.525"
"Mgat5";"Hecw2";"0.52"
"Hecw2";"Dnm3";"0.506"
"Sptan1";"Hecw2";"0.569"
"Mbd5";"Hecw2";"0.504"
"Upp2";"Hecw2";"0.53"
"B3galt1";"Hecw2";"0.532"
"Lrrc4c";"Hecw2";"0.519"
"Frmd5";"Hecw2";"0.578"
"Snph";"Hecw2";"0.517"
"Snhg11";"Hecw2";"0.534"
"Gria2";"Hecw2";"0.524"
"Ank2";"Hecw2";"0.561"
"Lingo2";"Hecw2";"0.52"
"Agbl4";"Hecw2";"0.506"
"Rsrp1";"Hecw2";"0.508"
"Hecw2";"Camta1";"0.551"
"Atxn2";"Hecw2";"0.525"
"Dync1i1";"Hecw2";"0.54"
"Ube3a";"Hecw2";"0.533"
"Otud7a";"Hecw2";"0.517"
"Hecw2";"Rmst";"0.512"
"Hecw2";"Zmat4";"0.503"
"Nrg3";"Hecw2";"0.56"
"Pcdh9";"Hecw2";"0.51"
"Mycbp2";"Hecw2";"0.545"
"Ntm";"Hecw2";"0.537"
"Pde4d";"Hecw2";"0.554"
"Mdga2";"Hecw2";"0.532"
"Hecw2";"Gphn";"0.534"
"Meg3";"Hecw2";"0.566"
"Oxct1";"Hecw2";"0.511"
"Ctnnd2";"Hecw2";"0.508"
"Cntn1";"Hecw2";"0.528"
"Slc38a1";"Hecw2";"0.525"
"Ttc3";"Hecw2";"0.517"
"Dscam";"Hecw2";"0.536"
"Pde10a";"Hecw2";"0.519"
"Wdr7";"Hecw2";"0.508"
"Tcf4";"Hecw2";"0.506"
"ENSMUSG00000041670";"Hecw2";"0.526"
"ENSMUSG00000102657";"Hecw2";"0.505"
"Mbd5";"Sumo1";"0.512"
"Ctps2";"Sumo1";"0.519"
"Rbm28";"Sumo1";"0.504"
"Oxct1";"Sumo1";"0.514"
"Cntn1";"Sumo1";"0.579"
"Efna5";"Sumo1";"0.551"
"Mapre2";"Sumo1";"0.537"
"Wdr7";"Sumo1";"0.513"
"Ube3a";"Nbeal1";"0.504"
"Rbm28";"Abi2";"0.546"
"Glg1";"Abi2";"0.568"
"Tsc22d1";"Abi2";"0.518"
"Cntn1";"Abi2";"0.52"
"Ttc3";"Abi2";"0.516"
"Rgs7";"Unc80";"0.503"
"Scn1a";"Unc80";"0.527"
"4930402H24Rik";"Unc80";"0.512"
"Snhg11";"Unc80";"0.583"
"Ogt";"Unc80";"0.574"
"Nlgn1";"Unc80";"0.564"
"Zranb2";"Unc80";"0.515"
"Sgip1";"Unc80";"0.533"
"Agbl4";"Unc80";"0.501"
"Macf1";"Unc80";"0.512"
"Magi2";"Unc80";"0.502"
"Caln1";"Unc80";"0.538"
"Lrrtm4";"Unc80";"0.511"
"Adarb1";"Unc80";"0.55"
"Fam155a";"Unc80";"0.554"
"Cadps";"Unc80";"0.505"
"Kcnma1";"Unc80";"0.536"
"Nrg3";"Unc80";"0.514"
"Pitpna";"Unc80";"0.513"
"Chrm3";"Unc80";"0.544"
"Meg3";"Unc80";"0.627"
"Kif21a";"Unc80";"0.561"
"Son";"Unc80";"0.534"
"Dscam";"Unc80";"0.538"
"Rcan2";"Unc80";"0.55"
"Nrxn1";"Unc80";"0.511"
"Malat1";"Unc80";"0.505"
"Hspa12a";"Unc80";"0.551"
"ENSMUSG00000097451";"Unc80";"0.511"
"Rbms1";"Erbb4";"0.505"
"Negr1";"Erbb4";"0.554"
"Fam155a";"Erbb4";"0.562"
"Nrg3";"Erbb4";"0.585"
"Dach1";"Erbb4";"0.53"
"Gpc6";"Erbb4";"0.508"
"Meg3";"Erbb4";"0.5"
"Ctnnd2";"Erbb4";"0.526"
"Stmn3";"Resp18";"0.623"
"Map7d2";"Resp18";"0.524"
"Ndufa4";"Resp18";"0.552"
"Atp6v0c-ps2";"Resp18";"0.555"
"Bsg";"Resp18";"0.545"
"Gm1821";"Resp18";"0.626"
"Gm10123";"Resp18";"0.531"
"Ubb";"Resp18";"0.637"
"Gm47441";"Resp18";"0.5"
"Calm1";"Resp18";"0.512"
"Cox6c";"Resp18";"0.561"
"Fth1";"Resp18";"0.553"
"Nav1";"Pid1";"0.54"
"Esrrg";"Pid1";"0.525"
"Scn1a";"Pid1";"0.571"
"Frmd5";"Pid1";"0.531"
"Snhg11";"Pid1";"0.524"
"Il1rapl1";"Pid1";"0.501"
"Nbea";"Pid1";"0.501"
"Ank2";"Pid1";"0.53"
"Lingo2";"Pid1";"0.528"
"Pid1";"Elavl4";"0.52"
"Agbl4";"Pid1";"0.51"
"Macf1";"Pid1";"0.61"
"Magi2";"Pid1";"0.567"
"Pid1";"Lhfpl3";"0.517"
"Pid1";"Pcdh7";"0.553"
"Pid1";"Chchd3";"0.552"
"Pid1";"Luc7l2";"0.504"
"Ccser1";"Pid1";"0.589"
"Grid2";"Pid1";"0.506"
"Ctnna2";"Pid1";"0.544"
"Pid1";"Srgap3";"0.54"
"Pid1";"Bicd1";"0.581"
"Ube3a";"Pid1";"0.523"
"Pid1";"Grm5";"0.507"
"Dlg2";"Pid1";"0.523"
"Syne1";"Pid1";"0.5"
"Pid1";"Rmst";"0.563"
"Pid1";"Syt1";"0.573"
"Fam155a";"Pid1";"0.621"
"Pid1";"Large1";"0.514"
"Kcnma1";"Pid1";"0.519"
"Nrg3";"Pid1";"0.628"
"Pid1";"Atp8a2";"0.549"
"Pcdh9";"Pid1";"0.56"
"Fgf14";"Pid1";"0.526"
"Opcml";"Pid1";"0.522"
"Ntm";"Pid1";"0.581"
"Pid1";"Ccdc88a";"0.501"
"Pid1";"Eml6";"0.524"
"Pid1";"Msi2";"0.572"
"Pid1";"Nsf";"0.567"
"Dip2c";"Pid1";"0.551"
"Map1b";"Pid1";"0.502"
"Pde4d";"Pid1";"0.574"
"Mdga2";"Pid1";"0.511"
"Meg3";"Pid1";"0.592"
"Pid1";"Trio";"0.51"
"Ctnnd2";"Pid1";"0.557"
"Rbfox1";"Pid1";"0.509"
"Dscam";"Pid1";"0.564"
"Pid1";"Park2";"0.516"
"Dlgap1";"Pid1";"0.589"
"Nrxn1";"Pid1";"0.555"
"Pid1";"Nrg2";"0.522"
"Pid1";"Arhgap26";"0.547"
"Malat1";"Pid1";"0.516"
"ENSMUSG00000041670";"Pid1";"0.513"
"Pid1";"ENSMUSG00000037876";"0.555"
"Dner";"Nfasc";"0.512"
"Dner";"Syt2";"0.521"
"Dner";"Kifap3";"0.529"
"Dner";"Esrrg";"0.519"
"Dner";"Frmd4a";"0.589"
"Dner";"Nebl";"0.517"
"Dner";"Sptan1";"0.605"
"Snhg11";"Dner";"0.563"
"Dner";"Il1rapl1";"0.521"
"Dner";"Rtl4";"0.513"
"Dner";"Pde4dip";"0.502"
"Dner";"Vav3";"0.544"
"Ank2";"Dner";"0.644"
"Dner";"Chd7";"0.509"
"Dner";"Sgip1";"0.507"
"Dner";"Osbpl9";"0.51"
"Dner";"Agbl4";"0.541"
"Dner";"Macf1";"0.593"
"Magi2";"Dner";"0.644"
"Dner";"Lhfpl3";"0.512"
"Dner";"Pcdh7";"0.521"
"Dner";"Caln1";"0.536"
"Dner";"Ccser1";"0.553"
"Ctnna2";"Dner";"0.555"
"Dner";"Atp2b2";"0.506"
"Dner";"Bicd1";"0.55"
"Ube3a";"Dner";"0.549"
"Dner";"Dlg2";"0.619"
"Dner";"Syt1";"0.52"
"Fam155a";"Dner";"0.549"
