"","structure.acronym.IN","structure.acronym","normalized_projection_volume","Group"
"380","SSp","LP",0.123307723345402,"CH"
"381","SSp","ZI",0.286803913121206,"CH"
"382","SSp","FN",6.33524568207704e-05,"CH"
"383","SSp","VAL",0.0566366176355201,"CH"
"384","SSp","SSs",0.582299338121863,"CH"
"385","SSp","PB",0.0012266043587028,"CH"
"386","SSp","VPL",0.0806844991287694,"CH"
"387","SSp","AAA",0.000107564495596996,"CH"
"388","SSp","CA3",0.0020088777034969,"CH"
"389","SSp","BLA",0.00205289500231845,"CH"
"390","SSp","LD",0.110776377111775,"CH"
"391","SSp","CLA",0.00440733663007605,"CH"
"392","SSp","CP",1.97529116391144,"CH"
"393","SSp","VM",0.027631423961831,"CH"
"394","SSp","AI",0.00627723611362922,"CH"
"395","SSp","MH",0,"CH"
"396","SSp","PO",0.175732937898321,"CH"
"397","SSp","RSPd",0.213843831039744,"CH"
"398","SSp","PRM",4.93394754882936e-05,"CH"
"399","SSp","DG",0.000409549105895832,"CH"
"400","SSp","IP",3.30506555902228e-07,"CH"
"401","SSp","PT",0,"CH"
"402","SSp","VPM",0.138649552579236,"CH"
"403","SSp","RPO",0.00100997310637496,"CH"
"404","SSp","PYR",9.35635837728981e-06,"CH"
"405","SSp","ACB",0.00915453988086861,"CH"
"406","SSp","PFL",0.000494105208995532,"CH"
"407","SSp","MOp",0.31042850403979,"CH"
"408","SSp","ACAv",0.0105890318917119,"CH"
"409","SSp","LH",0.000188691933941609,"CH"
"410","SSp","NOD",4.76614630988298e-06,"CH"
"411","SSp","PG",0.103278877435226,"CH"
"412","SSp","MOs",0.792552840808269,"CH"
"413","SSp","AN",0.000348023538341683,"CH"
"414","SSp","RN",0.0369376867886081,"CH"
"415","SSp","AV",0.0160731725784674,"CH"
"416","SSp","RSPv",0.0897321201879109,"CH"
"417","SSp","RN",0.201224408214371,"CH"
"418","SSp","VPL",0.524536629144418,"CH"
"419","SSp","CENT",0.000515651184038797,"CH"
"420","SSp","IP",0.000902482142807433,"CH"
"421","SSp","DG",0.00129991419209715,"CH"
"422","SSp","CP",5.13349614670015,"CH"
"423","SSp","PB",0.0183642050972719,"CH"
"424","SSp","LD",0.171952144270015,"CH"
"425","SSp","PO",0.693276832680739,"CH"
"426","SSp","MD",0.0498834529847939,"CH"
"427","SSp","PFL",0.0189862086571515,"CH"
"428","SSp","AM",0.00713439758744238,"CH"
"429","SSp","PYR",3.9955535195189e-05,"CH"
"430","SSp","VAL",0.305766546753085,"CH"
"431","SSp","CLA",0.0105017319315946,"CH"
"432","SSp","MOs",1.91960310085623,"CH"
"433","SSp","ZI",0.761227906652842,"CH"
"434","SSp","RSPd",0.267717901361872,"CH"
"435","SSp","SIM",0.0093098334951768,"CH"
"436","SSp","PT",3.15654457526794e-05,"CH"
"437","SSp","CEA",0.00569558901807129,"CH"
"438","SSp","FN",0.00049634927702221,"CH"
"439","SSp","PG",0.269904185556575,"CH"
"440","SSp","CUL",0.00246761677041367,"CH"
"441","SSp","AAA",0,"CH"
"442","SSp","RPO",0.00495174327007729,"CH"
"443","SSp","MOp",2.84082568866963,"CH"
"444","SSp","SSs",2.89677165872506,"CH"
"445","SSp","LH",0.00228401321820593,"CH"
"446","SSp","VM",0.171541778596454,"CH"
"447","SSp","CA3",0.0105432284299345,"CH"
"448","SSp","BLA",0.000119596747565452,"CH"
"449","SSp","PVT",0.00172047253105698,"CH"
"450","SSp","LP",0.165836141508438,"CH"
"451","SSp","AI",0.0156085518272194,"CH"
"452","SSp","MH",0.000563713520316957,"CH"
"453","SSp","NOD",0.000176106920345561,"CH"
"454","SSp","ACB",0.00707586366651614,"CH"
"455","SSp","VPM",0.833556325890277,"CH"
"456","SSp","ACAv",0.00272318953349738,"CH"
"457","SSp","CA1",0.0084390624578033,"CH"
"458","SSp","PRM",0.00015160795478385,"CH"
"459","SSp","ACAd",0.218757988312879,"CH"
"460","SSp","AN",0.00342979963483587,"CH"
"461","SSp","VPM",1.08853727957996,"CH"
"462","SSp","SIM",0.00830570993545679,"CH"
"463","SSp","FN",0.000164663341183965,"CH"
"464","SSp","MOs",3.42434111389854,"CH"
"465","SSp","PO",0.5896002452307,"CH"
"466","SSp","ACAv",0.000385459982208388,"CH"
"467","SSp","AV",0,"CH"
"468","SSp","DG",0.00178270419570009,"CH"
"469","SSp","MD",0.0249296265806579,"CH"
"470","SSp","CENT",0.00261506948543374,"CH"
"471","SSp","ZI",0.0799012172369297,"CH"
"472","SSp","ACAd",0.000467008530228901,"CH"
"473","SSp","LD",2.59485954244747e-05,"CH"
"474","SSp","PRM",0.00546207993851945,"CH"
"475","SSp","RPO",0,"CH"
"476","SSp","BLA",0.00033427554403582,"CH"
"477","SSp","MH",4.52466461550593e-05,"CH"
"478","SSp","AM",0,"CH"
"479","SSp","CEA",0.0454103239880913,"CH"
"480","SSp","CA1",4.52304356024356e-05,"CH"
"481","SSp","AAA",5.4748010344948e-06,"CH"
"482","SSp","PFL",0.00502587013903207,"CH"
"483","SSp","AN",0.0126829223432967,"CH"
"484","SSp","LP",1.77437385358116e-06,"CH"
"485","SSp","PYR",0.000390469962302557,"CH"
"486","SSp","PVT",4.96108842716764e-05,"CH"
"487","SSp","SSs",3.14081265252409,"CH"
"488","SSp","IP",0.000300800470635486,"CH"
"489","SSp","CP",9.1529368127363,"CH"
"490","SSp","LH",0,"CH"
"491","SSp","CUL",0.0123051677879178,"CH"
"492","SSp","PT",8.09910883496834e-08,"CH"
"493","SSp","AI",1.24639928674816,"CH"
"494","SSp","VAL",0.21765778911548,"CH"
"495","SSp","VM",0.118048219090888,"CH"
"496","SSp","NOD",0.00254806276165699,"CH"
"497","SSp","CLA",0.000584672676921084,"CH"
"498","SSp","ACB",0.00891821911203626,"CH"
"499","SSp","PG",0.361173613527367,"CH"
"500","SSp","MOp",5.91460705977626,"CH"
"501","SSp","CA3",0.00221362259522739,"CH"
"502","SSp","RN",0.0196470290501432,"CH"
"503","SSp","RSPd",0.00195408034100224,"CH"
"504","SSp","PB",0.022784609293797,"CH"
"505","SSp","VPL",0.180921580987768,"CH"
"506","SSp","RSPv",0.000166942614889929,"CH"
"507","SSp","ACB",0.0459003964777769,"CH"
"508","SSp","PO",0.277231537745213,"CH"
"509","SSp","PFL",0.00468608632113531,"CH"
"510","SSp","LP",0.0752609928252009,"CH"
"511","SSp","PG",0.141772189111613,"CH"
"512","SSp","AV",0.00129314067125872,"CH"
"513","SSp","CLA",0.0153291806133149,"CH"
"514","SSp","CA3",0.00147488144778838,"CH"
"515","SSp","VAL",0.0742386669187919,"CH"
"516","SSp","VPM",0.547436314734314,"CH"
"517","SSp","DG",0.00262051881635959,"CH"
"518","SSp","FN",7.46954724090385e-05,"CH"
"519","SSp","VPL",0.138026663152165,"CH"
"520","SSp","PYR",1.97986470260978e-06,"CH"
"521","SSp","MD",0.00748864828209322,"CH"
"522","SSp","BLA",0.0032100282019268,"CH"
"523","SSp","ACAv",0.00587023731798372,"CH"
"524","SSp","CUL",0.000873027244464893,"CH"
"525","SSp","PB",0.0170091656374972,"CH"
"526","SSp","NOD",0.000217908708169323,"CH"
"527","SSp","MOp",0.491349296761684,"CH"
"528","SSp","AI",0.0500126142669554,"CH"
"529","SSp","CEA",0.0118654529933389,"CH"
"530","SSp","SIM",0.000839656546244577,"CH"
"531","SSp","MH",0.000115234267073174,"CH"
"532","SSp","CP",5.89422323221448,"CH"
"533","SSp","RSPd",0.0189560034405951,"CH"
"534","SSp","ACAd",0.108944237361518,"CH"
"535","SSp","ZI",0.484389630114331,"CH"
"536","SSp","IP",0.000238161437444239,"CH"
"537","SSp","PRM",0.000559535216516555,"CH"
"538","SSp","LH",0.00021943488716707,"CH"
"539","SSp","AAA",0.000134708626376287,"CH"
"540","SSp","RPO",0.000648934260930133,"CH"
"541","SSp","RN",0.0748845243020565,"CH"
"542","SSp","CENT",0.0010132806983033,"CH"
"543","SSp","VM",0.0589220368854383,"CH"
"544","SSp","PVT",0.000375119477625368,"CH"
"545","SSp","AM",0.000567942013145454,"CH"
"546","SSp","CA1",0.074848593684821,"CH"
"547","SSp","RSPv",0.019231084900783,"CH"
"548","SSp","SSs",4.89537450003013,"CH"
"549","SSp","LD",0.0122087695417661,"CH"
"550","SSp","MOs",2.11472734413883,"CH"
"551","SSp","PT",3.06225412172443e-06,"CH"
"552","SSp","AN",0.00119127456104381,"CH"
"553","SSp","VM",0.0689025829727005,"CH"
"554","SSp","PB",0.016022595065961,"CH"
"555","SSp","MOp",0.601513102136215,"CH"
"556","SSp","MD",0.0412368415907194,"CH"
"557","SSp","AI",0.0230513027771874,"CH"
"558","SSp","ACAd",0.369639521939855,"CH"
"559","SSp","FN",0.000238393806142788,"CH"
"560","SSp","LP",0.131190846504175,"CH"
"561","SSp","PT",3.51193926456648e-05,"CH"
